Date,Open,High,Low,Close,Volume,QuoteVolume,TradeNum
"01/08/2017, 02:00:00",301.13000000,393.71000000,144.21000000,384.79000000,82652.55971000,26893681.66808830,73552
"01/09/2017, 02:00:00",386.44000000,394.39000000,192.00000000,304.36000000,167937.12444000,48459503.76476410,177180
"01/10/2017, 02:00:00",305.13000000,354.00000000,272.20000000,304.90000000,231137.83697000,70977397.86616550,214648
"01/11/2017, 01:00:00",304.89000000,515.00000000,274.73000000,427.43000000,558140.09976000,210287277.18386380,362825
"01/12/2017, 01:00:00",428.05000000,864.90000000,375.01000000,733.98000000,1709681.42863000,1095175756.35663960,1717737
"01/01/2018, 01:00:00",733.01000000,1440.00000000,716.80000000,1124.81000000,4449875.05067000,4733420445.53642910,5243958
"01/02/2018, 01:00:00",1125.96000000,1164.99000000,570.10000000,853.50000000,4763007.17082000,4027935296.11776160,7645670
"01/03/2018, 01:00:00",853.50000000,879.96000000,366.00000000,393.92000000,3233542.72918000,1803947901.16259360,3881675
"01/04/2018, 02:00:00",393.93000000,712.99000000,356.90000000,670.78000000,3985713.71581000,2104023946.29957820,3623859
"01/05/2018, 02:00:00",670.78000000,839.99000000,506.11000000,577.81000000,4408748.58226000,2990716604.31649220,3996765
"01/06/2018, 02:00:00",577.81000000,628.81000000,404.48000000,454.09000000,3679540.26495000,1860588038.17646130,3056636
"01/07/2018, 02:00:00",454.20000000,515.47000000,416.94000000,432.22000000,4643015.20349000,2148572707.47779040,3216773
"01/08/2018, 02:00:00",432.20000000,434.99000000,250.00000000,281.41000000,8484870.73771000,2654017672.10112870,4214976
"01/09/2018, 02:00:00",281.46000000,302.00000000,167.32000000,232.94000000,15011197.24495000,3324267386.43400070,4992967
"01/10/2018, 02:00:00",233.04000000,239.00000000,189.01000000,198.73000000,5656055.71475000,1212100210.16679980,2351879
"01/11/2018, 01:00:00",198.70000000,224.80000000,102.36000000,113.73000000,10359779.81155000,1538514462.13427780,4121149
"01/12/2018, 01:00:00",113.71000000,157.67000000,81.79000000,131.45000000,18264688.97842000,2059098648.00781790,5854262
"01/01/2019, 01:00:00",131.45000000,159.26000000,100.91000000,106.44000000,13940118.50003000,1820398359.08924240,4812045
"01/02/2019, 01:00:00",106.47000000,166.00000000,101.21000000,135.34000000,12685474.00855000,1680123771.63375520,4063775
"01/03/2019, 01:00:00",135.32000000,145.89000000,122.60000000,141.38000000,8362024.66500000,1135759910.73248650,3115090
"01/04/2019, 02:00:00",141.41000000,185.87000000,139.57000000,161.83000000,12829462.34072000,2121766684.01484340,4398840
"01/05/2019, 02:00:00",161.85000000,288.62000000,157.55000000,267.90000000,18976801.36183000,4316378328.33457750,6485504
"01/06/2019, 02:00:00",267.90000000,366.80000000,226.56000000,292.70000000,12433954.40436000,3504428923.46639380,6154258
"01/07/2019, 02:00:00",292.89000000,318.19000000,191.84000000,218.42000000,11176590.65074000,2746343818.36308750,5891678
"01/08/2019, 02:00:00",218.42000000,239.15000000,163.61000000,171.57000000,6963710.33197000,1388515000.93037750,3912266
"01/09/2019, 02:00:00",171.52000000,223.94000000,150.03000000,180.85000000,13648082.36985000,2528833063.96883830,4619966
"01/10/2019, 02:00:00",180.89000000,197.74000000,153.45000000,182.18000000,14105916.59043000,2522317553.12737500,5016897
"01/11/2019, 01:00:00",182.19000000,195.09000000,131.45000000,151.37000000,10175750.16427000,1713545741.31052010,4344353
"01/12/2019, 01:00:00",151.43000000,152.49000000,116.26000000,129.16000000,8781775.78331000,1191310050.65105420,3326776
"01/01/2020, 01:00:00",129.16000000,187.00000000,125.88000000,179.99000000,12817879.25715000,2025639750.34710110,4986853
"01/02/2020, 01:00:00",179.94000000,288.41000000,179.10000000,217.21000000,21153996.14580000,5127525049.24233890,8343119
"01/03/2020, 01:00:00",217.29000000,251.93000000,86.00000000,132.72000000,40100166.98948000,5993132935.64847460,11872867
"01/04/2020, 02:00:00",132.72000000,227.30000000,128.62000000,206.08000000,30622487.94288000,5307426102.86373880,8245020
"01/05/2020, 02:00:00",206.07000000,247.00000000,176.00000000,231.57000000,24717586.81853000,5101265932.40613120,7525066
"01/06/2020, 02:00:00",231.56000000,253.80000000,216.00000000,225.60000000,16073920.07730000,3788746146.39326890,6067128
"01/07/2020, 02:00:00",225.59000000,349.45000000,222.87000000,346.33000000,20935176.05306000,5669453437.19607360,8244597
"01/08/2020, 02:00:00",346.32000000,446.00000000,325.00000000,433.79000000,28769352.88701000,11440961601.40521930,13062079
"01/09/2020, 02:00:00",433.80000000,488.84000000,308.42000000,359.83000000,34431117.99327000,12818279438.34963910,13888400
"01/10/2020, 02:00:00",359.83000000,420.73000000,332.18000000,386.46000000,19292758.26132000,7288859222.77029690,7532154
"01/11/2020, 01:00:00",386.44000000,623.00000000,370.23000000,616.66000000,36426105.33250000,17960338594.63861780,15988322
"01/12/2020, 01:00:00",616.65000000,635.70000000,530.43000000,587.63000000,11777425.70295000,6873395078.83303770,6393066
