Date,Open,High,Low,Close,Volume,QuoteVolume,TradeNum
"30/08/2017, 02:00:00",374.70000000,393.71000000,367.37000000,378.14000000,796.73725000,302082.02010750,1041
"30/08/2017, 10:00:00",378.16000000,385.33000000,362.05000000,379.38000000,2377.43306000,888708.29913880,2470
"30/08/2017, 18:00:00",379.38000000,389.80000000,378.72000000,385.93000000,1272.42577000,488735.89326520,1301
"31/08/2017, 02:00:00",384.64000000,385.94000000,377.78000000,383.14000000,1159.07669000,443134.39829450,1278
"31/08/2017, 10:00:00",381.89000000,389.36000000,378.85000000,383.76000000,1693.64804000,651153.33634630,1712
"31/08/2017, 18:00:00",384.38000000,388.25000000,383.13000000,384.79000000,1583.14382000,610153.65962580,1584
"01/09/2017, 02:00:00",386.44000000,394.39000000,383.18000000,388.40000000,1506.54170000,586312.71597380,1367
"01/09/2017, 10:00:00",389.48000000,393.08000000,385.88000000,387.01000000,1693.04134000,659577.73149600,1561
"01/09/2017, 18:00:00",387.91000000,394.02000000,386.05000000,388.46000000,999.10130000,389337.16629630,1196
"02/09/2017, 02:00:00",388.58000000,394.32000000,347.00000000,363.70000000,2822.97340000,1046206.83064670,3055
"02/09/2017, 10:00:00",364.83000000,364.84000000,327.09000000,341.72000000,2865.42558000,1002301.56434880,2562
"02/09/2017, 18:00:00",341.72000000,345.27000000,320.08000000,343.14000000,2551.92826000,855500.06639060,2600
"03/09/2017, 02:00:00",343.56000000,367.28000000,340.20000000,357.81000000,1712.01059000,602096.20475410,2120
"03/09/2017, 10:00:00",357.82000000,363.45000000,320.08000000,329.34000000,2790.20578000,943720.72154910,2808
"03/09/2017, 18:00:00",329.35000000,347.73000000,328.30000000,341.77000000,751.40574000,255885.69149970,1225
"04/09/2017, 02:00:00",339.29000000,344.55000000,270.38000000,275.01000000,1717.08317000,547290.82843210,2009
"04/09/2017, 10:00:00",284.51000000,314.27000000,267.94000000,269.54000000,3681.14205000,1071376.43853520,3569
"04/09/2017, 18:00:00",268.93000000,312.92000000,268.20000000,283.77000000,1339.58539000,383778.91483470,1825
"05/09/2017, 02:00:00",286.81000000,298.74000000,235.55000000,296.52000000,4143.74098000,1136277.50182150,4085
"05/09/2017, 10:00:00",296.56000000,304.99000000,282.52000000,291.66000000,2779.29749000,821366.82107360,3136
"05/09/2017, 18:00:00",290.07000000,321.52000000,285.94000000,312.09000000,1421.38077000,439846.59494350,1778
"06/09/2017, 02:00:00",313.29000000,333.12000000,312.09000000,318.53000000,2511.58856000,814072.25315720,3313
"06/09/2017, 10:00:00",320.31000000,335.24000000,319.02000000,335.00000000,2765.40436000,909748.26368460,3743
"06/09/2017, 18:00:00",335.00000000,336.34000000,335.00000000,335.00000000,209.31696000,70142.34165760,33
"07/09/2017, 02:00:00",335.01000000,335.01000000,320.35000000,323.57000000,952.65680000,311586.21091890,550
"07/09/2017, 10:00:00",323.57000000,338.38000000,320.17000000,337.00000000,1434.60346000,475371.16807180,1395
"07/09/2017, 18:00:00",337.00000000,342.50000000,328.81000000,334.49000000,716.63719000,240178.30796170,690
"08/09/2017, 02:00:00",334.49000000,335.10000000,324.72000000,329.57000000,678.34503000,224185.94849310,654
"08/09/2017, 10:00:00",329.57000000,333.76000000,272.00000000,294.05000000,2631.33121000,792750.94641250,1480
"08/09/2017, 18:00:00",294.06000000,310.46000000,280.80000000,302.99000000,1606.08069000,477372.99171070,1093
"09/09/2017, 02:00:00",300.01000000,306.42000000,281.66000000,299.68000000,1265.45224000,374135.85736430,967
"09/09/2017, 10:00:00",301.00000000,307.00000000,295.00000000,298.98000000,754.60314000,226349.90247010,550
"09/09/2017, 18:00:00",298.61000000,302.77000000,285.17000000,296.74000000,720.53284000,213264.59910150,439
"10/09/2017, 02:00:00",296.72000000,299.00000000,261.03000000,276.86000000,1610.17107000,454148.47451300,1087
"10/09/2017, 10:00:00",276.86000000,288.00000000,265.00000000,283.20000000,1618.45162000,454959.44336960,756
"10/09/2017, 18:00:00",283.13000000,302.78000000,283.00000000,293.50000000,927.82830000,272795.85431730,651
"11/09/2017, 02:00:00",293.51000000,304.98000000,285.21000000,293.96000000,3489.85785000,1039896.36375310,1876
"11/09/2017, 10:00:00",293.35000000,300.97000000,288.98000000,299.20000000,938.57375000,277217.60886480,903
"11/09/2017, 18:00:00",299.20000000,301.99000000,293.38000000,297.30000000,401.21487000,119697.84353900,711
"12/09/2017, 02:00:00",297.78000000,316.46000000,297.51000000,314.15000000,2136.61816000,652546.12934890,2186
"12/09/2017, 10:00:00",313.70000000,313.70000000,300.00000000,304.21000000,2185.37367000,668641.82281320,1915
"12/09/2017, 18:00:00",304.06000000,305.22000000,286.01000000,293.96000000,854.32219000,252264.46028980,1178
"13/09/2017, 02:00:00",293.93000000,294.50000000,267.00000000,277.83000000,1853.88991000,521882.15628750,1539
"13/09/2017, 10:00:00",278.55000000,280.63000000,257.05000000,266.93000000,3168.56212000,848286.69148940,2255
"13/09/2017, 18:00:00",266.93000000,282.77000000,264.95000000,276.91000000,1428.77633000,390912.04983000,733
"14/09/2017, 02:00:00",275.76000000,283.77000000,266.95000000,270.85000000,1370.97687000,375422.72279690,891
"14/09/2017, 10:00:00",270.85000000,273.00000000,229.77000000,243.48000000,6979.10786000,1752377.65417980,4167
"14/09/2017, 18:00:00",241.95000000,244.99000000,215.00000000,215.21000000,4251.87203000,982967.40358800,3108
"15/09/2017, 02:00:00",217.00000000,243.96000000,212.11000000,220.00000000,4091.84786000,931317.85852540,2783
"15/09/2017, 10:00:00",218.93000000,270.93000000,192.00000000,262.28000000,7065.03239000,1612750.35610980,4012
"15/09/2017, 18:00:00",257.03000000,267.69000000,235.03000000,253.00000000,3067.01505000,775243.61209980,2403
"16/09/2017, 02:00:00",255.99000000,271.81000000,250.00000000,263.55000000,4307.19024000,1131977.50338150,3442
"16/09/2017, 10:00:00",263.55000000,268.72000000,235.51000000,243.00000000,4534.36938000,1136692.64186410,3517
"16/09/2017, 18:00:00",244.00000000,257.00000000,243.00000000,249.31000000,1520.50049000,378482.22712520,1900
"17/09/2017, 02:00:00",249.32000000,252.54000000,242.00000000,242.09000000,1506.80098000,371047.74496670,1753
"17/09/2017, 10:00:00",242.10000000,254.00000000,239.02000000,253.25000000,1913.35709000,469275.26839860,1850
"17/09/2017, 18:00:00",253.00000000,264.39000000,252.01000000,257.55000000,1194.37530000,309381.28156410,1674
"18/09/2017, 02:00:00",257.53000000,299.00000000,257.11000000,289.05000000,2141.70460000,600763.67607830,1707
"18/09/2017, 10:00:00",291.00000000,306.22000000,279.61000000,290.87000000,1778.99821000,522573.38736360,1424
"18/09/2017, 18:00:00",290.11000000,296.00000000,285.10000000,294.57000000,205.26770000,59600.57013210,309
"19/09/2017, 02:00:00",296.00000000,300.00000000,277.41000000,277.41000000,790.10413000,226842.00479640,754
"19/09/2017, 10:00:00",279.65000000,294.99000000,279.65000000,289.98000000,606.48221000,174204.89447730,536
"19/09/2017, 18:00:00",289.44000000,289.96000000,278.00000000,284.00000000,473.32218000,134726.66592640,606
"20/09/2017, 02:00:00",284.01000000,288.00000000,275.91000000,288.00000000,396.56630000,111578.47985020,459
"20/09/2017, 10:00:00",286.09000000,294.00000000,280.98000000,291.01000000,495.72500000,142518.73908120,618
"20/09/2017, 18:00:00",291.00000000,293.94000000,282.00000000,282.00000000,168.27604000,48642.51482170,354
"21/09/2017, 02:00:00",285.10000000,286.00000000,278.05000000,285.00000000,338.04737000,95118.62623070,532
"21/09/2017, 10:00:00",285.00000000,287.00000000,265.50000000,267.02000000,698.00871000,192693.23895730,1064
"21/09/2017, 18:00:00",270.77000000,270.80000000,252.10000000,257.00000000,876.49975000,228381.33187280,1155
"22/09/2017, 02:00:00",258.00000000,272.97000000,258.00000000,263.32000000,642.83620000,170324.52933280,740
"22/09/2017, 10:00:00",263.32000000,264.79000000,253.01000000,253.01000000,587.55685000,151911.01949410,948
"22/09/2017, 18:00:00",254.88000000,266.61000000,254.88000000,264.00000000,234.11945000,60726.66911610,456
"23/09/2017, 02:00:00",259.99000000,268.70000000,255.11000000,265.27000000,255.34394000,66916.33859890,397
"23/09/2017, 10:00:00",266.99000000,283.09000000,266.99000000,280.00000000,445.84077000,123723.28085640,632
"23/09/2017, 18:00:00",278.21000000,286.23000000,277.07000000,285.93000000,2123.15101000,598170.70496860,2872
"24/09/2017, 02:00:00",286.50000000,294.61000000,275.00000000,278.50000000,2580.99753000,736036.20707490,3178
"24/09/2017, 10:00:00",278.95000000,288.18000000,277.95000000,284.84000000,1916.85246000,541194.22704470,2928
"24/09/2017, 18:00:00",285.50000000,287.14000000,277.06000000,282.00000000,1077.69423000,305647.05301330,1916
"25/09/2017, 02:00:00",282.00000000,291.30000000,281.34000000,289.50000000,2114.62079000,607376.69187420,2940
"25/09/2017, 10:00:00",289.50000000,297.12000000,287.00000000,295.00000000,2111.38940000,613160.50965760,3489
"25/09/2017, 18:00:00",295.06000000,299.00000000,291.03000000,294.42000000,1644.47016000,485014.79057000,2736
"26/09/2017, 02:00:00",294.42000000,296.81000000,287.94000000,293.50000000,1618.67105000,474954.36420230,2811
"26/09/2017, 10:00:00",293.00000000,295.52000000,289.53000000,289.54000000,1643.68317000,480195.01031680,2424
"26/09/2017, 18:00:00",289.54000000,291.00000000,286.24000000,287.90000000,1304.57382000,376975.79092050,2094
"27/09/2017, 02:00:00",289.91000000,292.88000000,286.13000000,291.00000000,1250.02082000,362412.68699020,2045
"27/09/2017, 10:00:00",289.45000000,303.49000000,287.78000000,298.68000000,2614.17940000,774207.25593720,3561
"27/09/2017, 18:00:00",299.84000000,313.00000000,297.01000000,309.74000000,1653.90360000,505276.93143770,2602
"28/09/2017, 02:00:00",309.81000000,311.81000000,303.05000000,305.57000000,2199.74684000,676480.86972070,3462
"28/09/2017, 10:00:00",306.17000000,310.63000000,297.73000000,299.42000000,2814.37768000,855256.32027420,3957
"28/09/2017, 18:00:00",299.42000000,304.06000000,296.89000000,302.44000000,1586.78470000,477496.69871560,3115
"29/09/2017, 02:00:00",302.44000000,303.00000000,274.00000000,290.49000000,5827.80184000,1668256.29179220,5767
"29/09/2017, 10:00:00",290.47000000,302.97000000,285.55000000,293.14000000,3356.18561000,985116.82064740,3738
"29/09/2017, 18:00:00",293.14000000,298.60000000,290.11000000,292.22000000,1905.21157000,560351.97795830,3593
"30/09/2017, 02:00:00",292.62000000,306.50000000,292.22000000,301.01000000,1551.86501000,464812.82729660,3159
"30/09/2017, 10:00:00",300.02000000,307.47000000,298.21000000,304.90000000,1537.69286000,465591.12425440,3163
"30/09/2017, 18:00:00",305.42000000,307.49000000,301.21000000,304.36000000,931.05008000,284052.88649520,1846
"01/10/2017, 02:00:00",305.13000000,305.50000000,298.08000000,300.52000000,1669.00435000,501132.84101970,2945
"01/10/2017, 10:00:00",300.76000000,302.85000000,294.00000000,300.22000000,2066.01721000,616767.68951200,3181
"01/10/2017, 18:00:00",300.21000000,306.00000000,298.77000000,303.95000000,1325.03602000,401087.77245830,2774
"02/10/2017, 02:00:00",303.94000000,305.00000000,300.20000000,302.38000000,1628.54325000,492601.30350150,3051
"02/10/2017, 10:00:00",301.76000000,304.85000000,296.71000000,300.80000000,1433.42385000,431112.19430960,2741
"02/10/2017, 18:00:00",300.19000000,301.83000000,295.00000000,296.50000000,648.87037000,192787.72700110,1662
"03/10/2017, 02:00:00",298.15000000,301.99000000,290.06000000,291.77000000,2740.43159000,809249.20761880,4130
"03/10/2017, 10:00:00",291.76000000,293.36000000,283.18000000,291.29000000,1672.29914000,482920.09951170,2984
"03/10/2017, 18:00:00",291.29000000,293.70000000,287.14000000,292.48000000,1134.12629000,330291.41964410,2213
"04/10/2017, 02:00:00",292.47000000,297.97000000,291.02000000,295.89000000,1706.22980000,502563.44159990,2196
"04/10/2017, 10:00:00",295.89000000,295.89000000,288.00000000,294.38000000,1361.46818000,397957.13787270,2854
"04/10/2017, 18:00:00",294.38000000,294.39000000,288.00000000,291.99000000,947.18994000,275739.63771430,2183
"05/10/2017, 02:00:00",290.00000000,294.80000000,285.53000000,289.12000000,1409.31486000,407536.86719900,2452
"05/10/2017, 10:00:00",288.81000000,296.17000000,286.00000000,294.51000000,1172.13711000,341732.38295300,2163
"05/10/2017, 18:00:00",295.00000000,297.44000000,293.60000000,294.81000000,830.93819000,245499.24525450,1510
"06/10/2017, 02:00:00",294.78000000,301.90000000,293.78000000,300.29000000,1195.20955000,355157.78049590,1887
"06/10/2017, 10:00:00",299.81000000,303.89000000,298.24000000,301.67000000,1504.88609000,453363.36093160,2606
"06/10/2017, 18:00:00",301.68000000,310.80000000,300.45000000,310.80000000,840.92795000,255258.21249760,1571
"07/10/2017, 02:00:00",309.90000000,314.28000000,303.60000000,307.01000000,871.24895000,270533.28081330,1771
"07/10/2017, 10:00:00",306.71000000,311.89000000,304.99000000,310.06000000,596.72825000,183603.04969310,1242
"07/10/2017, 18:00:00",310.01000000,318.50000000,306.34000000,311.01000000,697.81356000,217890.33802640,1276
"08/10/2017, 02:00:00",311.08000000,314.46000000,310.47000000,311.38000000,808.88175000,252757.17826490,1748
"08/10/2017, 10:00:00",312.00000000,316.47000000,309.50000000,313.97000000,1172.49840000,365755.76492710,2644
"08/10/2017, 18:00:00",313.50000000,317.07000000,309.00000000,311.07000000,979.55183000,305476.84436200,1855
"09/10/2017, 02:00:00",311.13000000,312.13000000,303.00000000,304.02000000,1042.10163000,319800.14932570,1990
"09/10/2017, 10:00:00",305.01000000,309.31000000,297.00000000,300.01000000,1291.11245000,391857.49548720,1977
"09/10/2017, 18:00:00",300.01000000,300.92000000,286.65000000,297.19000000,2552.16455000,750866.98014020,4713
"10/10/2017, 02:00:00",297.35000000,300.00000000,293.00000000,296.00000000,1965.50996000,582665.88135180,3799
"10/10/2017, 10:00:00",296.54000000,307.21000000,293.00000000,305.42000000,2007.46608000,604389.72189440,2763
"10/10/2017, 18:00:00",307.21000000,308.56000000,297.90000000,298.64000000,2776.29864000,841484.86968110,2830
"11/10/2017, 02:00:00",300.88000000,305.50000000,298.61000000,303.75000000,2096.68200000,634347.65814370,2240
"11/10/2017, 10:00:00",302.47000000,304.64000000,298.02000000,299.82000000,1247.73097000,375913.23527630,1362
"11/10/2017, 18:00:00",299.86000000,304.77000000,299.20000000,304.01000000,380.27333000,115070.60993720,477
"12/10/2017, 02:00:00",304.01000000,309.35000000,303.60000000,307.09000000,989.65438000,303395.85933450,1005
"12/10/2017, 10:00:00",306.02000000,310.00000000,303.80000000,306.45000000,3781.32474000,1161032.17887310,1919
"12/10/2017, 18:00:00",306.45000000,308.02000000,302.71000000,303.99000000,3056.77684000,932637.12515950,2032
"13/10/2017, 02:00:00",303.52000000,339.50000000,297.00000000,328.00000000,7929.83848000,2459664.57304960,4651
"13/10/2017, 10:00:00",328.53000000,353.96000000,323.81000000,341.50000000,6581.93122000,2202782.49969550,3188
"13/10/2017, 18:00:00",342.22000000,351.99000000,333.15000000,337.96000000,3413.59615000,1170540.18316500,2059
"14/10/2017, 02:00:00",337.96000000,349.77000000,335.00000000,346.53000000,2641.25131000,899911.77012270,1895
"14/10/2017, 10:00:00",347.48000000,349.80000000,340.11000000,344.04000000,2811.33282000,967570.81054360,1722
"14/10/2017, 18:00:00",344.15000000,349.79000000,340.00000000,342.00000000,2279.38056000,788219.53387920,2086
"15/10/2017, 02:00:00",342.00000000,348.00000000,337.03000000,341.49000000,3192.87161000,1090248.19138260,2130
"15/10/2017, 10:00:00",341.40000000,341.88000000,316.17000000,333.56000000,4617.01413000,1507691.87671720,2840
"15/10/2017, 18:00:00",333.55000000,337.99000000,325.15000000,337.96000000,2201.46134000,728812.52901680,1852
"16/10/2017, 02:00:00",337.50000000,354.00000000,336.01000000,339.99000000,3338.37824000,1148049.80187920,2392
"16/10/2017, 10:00:00",339.99000000,346.92000000,337.03000000,338.96000000,2983.56201000,1020720.29069770,2341
"16/10/2017, 18:00:00",341.99000000,342.47000000,332.78000000,335.19000000,2341.53072000,787751.94921050,1853
"17/10/2017, 02:00:00",335.18000000,336.58000000,324.93000000,326.73000000,2422.94205000,795844.56378650,2277
"17/10/2017, 10:00:00",326.81000000,333.55000000,320.46000000,322.29000000,2431.77742000,789406.27760760,1934
"17/10/2017, 18:00:00",322.29000000,323.00000000,312.65000000,315.19000000,3292.02409000,1052900.04789630,2626
"18/10/2017, 02:00:00",315.19000000,318.00000000,300.00000000,302.70000000,5189.86155000,1600512.20624560,4593
"18/10/2017, 10:00:00",300.01000000,307.08000000,284.68000000,306.40000000,4884.17822000,1449075.41876510,3265
"18/10/2017, 18:00:00",305.10000000,313.98000000,300.01000000,309.70000000,2834.00563000,866182.52945680,1943
"19/10/2017, 02:00:00",311.52000000,315.00000000,301.22000000,305.01000000,2587.25279000,802559.13447540,2208
"19/10/2017, 10:00:00",305.02000000,313.93000000,300.00000000,305.65000000,3181.16398000,976275.53692630,2633
"19/10/2017, 18:00:00",305.66000000,311.98000000,304.80000000,308.66000000,2910.33062000,896565.18884080,1928
"20/10/2017, 02:00:00",308.66000000,308.69000000,302.13000000,302.37000000,2378.27363000,729131.78483710,2084
"20/10/2017, 10:00:00",302.40000000,311.18000000,302.01000000,305.55000000,3123.81124000,953445.11247070,2463
"20/10/2017, 18:00:00",305.98000000,308.83000000,302.00000000,304.51000000,3237.23277000,984815.00244730,2265
"21/10/2017, 02:00:00",304.51000000,305.34000000,294.20000000,297.95000000,3623.22187000,1087929.45337140,2418
"21/10/2017, 10:00:00",298.09000000,302.13000000,290.16000000,291.12000000,2511.40178000,742486.15778840,2039
"21/10/2017, 18:00:00",292.18000000,302.25000000,290.00000000,298.94000000,2457.00756000,728261.80038300,1886
"22/10/2017, 02:00:00",298.99000000,306.99000000,293.31000000,295.98000000,2719.25880000,811854.18415370,2072
"22/10/2017, 10:00:00",295.99000000,297.96000000,290.00000000,297.53000000,2676.07859000,787147.74830820,2057
"22/10/2017, 18:00:00",297.34000000,297.71000000,290.01000000,293.79000000,1777.73154000,521544.61456060,1699
"23/10/2017, 02:00:00",293.78000000,294.60000000,286.00000000,286.11000000,2800.70682000,812711.82156160,1997
"23/10/2017, 10:00:00",286.02000000,288.73000000,272.20000000,279.48000000,4144.31161000,1166208.10694750,2507
"23/10/2017, 18:00:00",279.49000000,284.48000000,275.10000000,281.09000000,2713.76561000,764091.05919370,2020
"24/10/2017, 02:00:00",282.27000000,310.00000000,275.50000000,303.97000000,6067.95635000,1815069.81220640,3226
"24/10/2017, 10:00:00",303.99000000,309.00000000,302.07000000,307.02000000,4337.70169000,1330985.83441870,2360
"24/10/2017, 18:00:00",307.84000000,307.85000000,293.99000000,297.38000000,3661.02120000,1107054.67295550,2440
"25/10/2017, 02:00:00",295.43000000,298.15000000,281.00000000,297.03000000,4009.08031000,1167865.36460600,2579
"25/10/2017, 10:00:00",297.03000000,300.00000000,288.42000000,291.72000000,3986.27183000,1169433.00440250,2273
"25/10/2017, 18:00:00",291.58000000,298.14000000,291.51000000,294.49000000,1707.74047000,503449.01561780,1944
"26/10/2017, 02:00:00",294.10000000,297.95000000,293.85000000,294.56000000,2423.59108000,716299.54110890,1916
"26/10/2017, 10:00:00",294.74000000,299.76000000,294.00000000,295.52000000,2877.13030000,851096.55997300,2502
"26/10/2017, 18:00:00",296.11000000,297.41000000,291.03000000,294.71000000,2512.30579000,739050.23265090,2139
"27/10/2017, 02:00:00",294.72000000,298.10000000,294.50000000,296.39000000,1963.78567000,582109.20211890,1664
"27/10/2017, 10:00:00",296.38000000,297.36000000,292.03000000,293.92000000,2009.16213000,593725.19832430,2076
"27/10/2017, 18:00:00",294.10000000,296.36000000,293.91000000,296.33000000,2299.20022000,676870.01566240,2159
"28/10/2017, 02:00:00",296.14000000,297.00000000,292.80000000,294.01000000,1865.01585000,549381.38843820,1844
"28/10/2017, 10:00:00",294.01000000,296.70000000,290.10000000,293.00000000,1926.34156000,565107.83196350,1934
"28/10/2017, 18:00:00",292.12000000,295.40000000,291.00000000,291.87000000,2057.50848000,601307.57379190,1811
"29/10/2017, 02:00:00",291.86000000,297.08000000,291.86000000,296.06000000,2423.90147000,712913.79206460,1859
"29/10/2017, 09:00:00",296.07000000,309.40000000,295.03000000,308.11000000,3385.44194000,1026064.81467250,2727
"29/10/2017, 17:00:00",308.11000000,308.12000000,300.85000000,305.00000000,3209.78974000,977354.20865150,2361
"30/10/2017, 01:00:00",305.00000000,316.00000000,302.10000000,308.34000000,3656.87298000,1125816.40185430,2451
"30/10/2017, 09:00:00",308.35000000,311.29000000,304.85000000,306.62000000,3241.25698000,999831.45987090,2328
"30/10/2017, 17:00:00",306.61000000,307.97000000,305.00000000,307.25000000,2047.99030000,625920.77481110,1642
"31/10/2017, 01:00:00",305.95000000,309.99000000,305.95000000,307.63000000,2103.63186000,649183.28992970,1707
"31/10/2017, 09:00:00",307.63000000,308.99000000,304.38000000,305.43000000,3007.53754000,924003.69801240,3389
"31/10/2017, 17:00:00",305.42000000,308.36000000,304.01000000,304.90000000,2529.24242000,774355.87688960,2648
"01/11/2017, 01:00:00",304.89000000,305.90000000,301.54000000,303.01000000,2797.37191000,848159.29937980,3330
